product_rk;product_name;effective_from_date;effective_to_date
1873610;Кредит наличными;2023-03-15;2999-12-31
1086698;Ипотека;2023-03-15;2999-12-31
1695036;Автокредит;2023-03-15;2999-12-31
1883337;Ипотека;2023-03-15;2999-12-31
1695606;Ипотека;2023-03-15;2999-12-31
1879964;Кредит наличными со страховкой;2023-03-15;2999-12-31
1121277;Кредит наличными;2023-03-15;2999-12-31
1037149;Ипотека;2023-03-15;2999-12-31
1715904;Автокредит;2023-03-15;2999-12-31
1163734;Кредит наличными со страховкой;2023-03-15;2999-12-31
1700410;Автокредит;2023-03-15;2999-12-31
1563245;Кредит наличными;2023-03-15;2999-12-31
1553154;Кредит наличными;2023-03-15;2999-12-31
1124507;Ипотека;2023-03-15;2999-12-31
1269036;Ипотека;2023-03-15;2999-12-31
1697117;Кредит наличными;2023-03-15;2999-12-31
1868716;Кредит наличными со страховкой;2023-03-15;2999-12-31
1333168;Кредит наличными;2023-03-15;2999-12-31
1334683;Кредит наличными;2023-03-15;2999-12-31
1110419;Кредит наличными со страховкой;2023-03-15;2999-12-31
1329041;Ипотека;2023-03-15;2999-12-31
1137076;Ипотека;2023-03-15;2999-12-31
1355452;Кредит наличными;2023-03-15;2999-12-31
1689672;Кредит наличными;2023-03-15;2999-12-31
1549464;Автокредит;2023-03-15;2999-12-31
1956747;Ипотека;2023-03-15;2999-12-31
1801077;Кредит наличными;2023-03-15;2999-12-31
1392400;Кредит наличными со страховкой;2023-03-15;2999-12-31
1657070;Кредит наличными;2023-03-15;2999-12-31
1288519;Кредит наличными;2023-03-15;2999-12-31
1630940;Ипотека;2023-03-15;2999-12-31
1327767;Кредит наличными со страховкой;2023-03-15;2999-12-31
1054899;Автокредит;2023-03-15;2999-12-31
1122338;Автокредит;2023-03-15;2999-12-31
1945145;Кредит наличными со страховкой;2023-03-15;2999-12-31
1245947;Кредит наличными;2023-03-15;2999-12-31
1585619;Ипотека;2023-03-15;2999-12-31
1827157;Ипотека;2023-03-15;2999-12-31
1674584;Автокредит;2023-03-15;2999-12-31
1560529;Автокредит;2023-03-15;2999-12-31
1983854;Ипотека;2023-03-15;2999-12-31
